price,index
221900.0,0
538000.0,1
180000.0,2
604000.0,3
510000.0,4
257500.0,5
291850.0,6
229500.0,7
662500.0,8
468000.0,9
310000.0,10
400000.0,11
530000.0,12
650000.0,13
485000.0,14
189000.0,15
230000.0,16
385000.0,17
252700.0,18
329000.0,19
233000.0,20
937000.0,21
667000.0,22
438000.0,23
719000.0,24
280000.0,25
687500.0,26
535000.0,27
322500.0,28
696000.0,29
550000.0,30
640000.0,31
240000.0,32
605000.0,33
625000.0,34
775000.0,35
685000.0,36
309000.0,37
210490.0,38
785000.0,39
450000.0,40
228000.0,41
345000.0,42
600000.0,43
585000.0,44
920000.0,45
885000.0,46
292500.0,47
301000.0,48
951000.0,49
430000.0,50
650000.0,51
289000.0,52
505000.0,53
549000.0,54
425000.0,55
317625.0,56
975000.0,57
287000.0,58
204000.0,59
1325000.0,60
1040000.0,61
325000.0,62
571000.0,63
349000.0,64
832500.0,65
380000.0,66
480000.0,67
410000.0,68
355000.0,69
356000.0,70
315000.0,71
940000.0,72
461000.0,73
215000.0,74
335000.0,75
243500.0,76
1099880.0,77
153000.0,78
700000.0,79
247500.0,80
199000.0,81
850830.0,82
555000.0,83
1088000.0,84
290000.0,85
375000.0,86
460000.0,87
188500.0,88
470000.0,89
570000.0,90
329950.0,91
480000.0,92
740500.0,93
518500.0,94
205425.0,95
171800.0,96
535000.0,97
660000.0,98
391500.0,99
395000.0,100
445000.0,101
770000.0,102
1450000.0,103
445000.0,104
260000.0,105
822500.0,106
784000.0,107
453246.0,108
675000.0,109
199000.0,110
220000.0,111
452000.0,112
382500.0,113
519950.0,114
665000.0,115
527700.0,116
205000.0,117
420000.0,118
500000.0,119
890000.0,120
258000.0,121
511000.0,122
532170.0,123
560000.0,124
282950.0,125
2250000.0,126
350000.0,127
215000.0,128
650000.0,129
320000.0,130
320000.0,131
255000.0,132
438000.0,133
900000.0,134
441000.0,135
370000.0,136
269950.0,137
807100.0,138
653000.0,139
371500.0,140
284000.0,141
272000.0,142
313000.0,143
917500.0,144
673000.0,145
425000.0,146
399950.0,147
385000.0,148
330000.0,149
260000.0,150
470000.0,151
589000.0,152
835000.0,153
1095000.0,154
269000.0,155
560000.0,156
615000.0,157
585188.0,158
305000.0,159
166950.0,160
400000.0,161
230000.0,162
